Name,Filter,Object,ExposureMode,UT,Grism
NCrd170526.fits,K,Ha_flat_K_off,expose 5.0, TCS UTC at start ( 6h:58m:56.0s)               ,Grism#1
NCrd170527.fits,K,Ha_flat_K_off,expose 5.0, TCS UTC at start ( 6h:59m:12.0s)               ,Grism#1
NCrd170528.fits,K,Ha_flat_K_off,expose 5.0, TCS UTC at start ( 6h:59m:29.0s)               ,Grism#1
NCrd170529.fits,K,Ha_flat_K_off,expose 5.0, TCS UTC at start ( 6h:59m:45.0s)               ,Grism#1
NCrd170530.fits,K,dframe 10 11,dframes 10.0 11, TCS UTC at start (  7h:1m:44.0s)               ,Grism#1
NCrd170531.fits,K,dframe 10 11,dframes 10.0 11, TCS UTC at start (  7h:4m:35.0s)               ,Grism#1
NCrd170532.fits,K,dframe 10 11,dframes 10.0 11, TCS UTC at start (  7h:7m:20.0s)               ,Grism#1
NCrd170533.fits,K,dframe 10 11,dframes 10.0 11, TCS UTC at start (  7h:9m:27.0s)               ,Grism#1
NCrd170534.fits,K,dframe 10 11,dframes 10.0 11, TCS UTC at start ( 7h:11m:41.0s)               ,Grism#1
NCrd170535.fits,K,dframe 10 11,dframes 10.0 11, TCS UTC at start ( 7h:14m:32.0s)               ,Grism#1
NCrd170536.fits,K,dframe 10 3,dframes 10.0 3, TCS UTC at start ( 7h:16m:51.0s)               ,Grism#1
NCrd170537.fits,K,dframe 10 3,dframes 10.0 3, TCS UTC at start ( 7h:17m:45.0s)               ,Grism#1
NCrd170538.fits,K,dframe 10 3,dframes 10.0 3, TCS UTC at start ( 7h:18m:33.0s)               ,Grism#1
