Name,Filter,Object,ExposureMode,UT,Grism
NCrk110168.fits,J,drk 2s,mdark 2.0 5   3/5, TCS UTC at start (17h:39m:35.0s)               ,
NCrk110169.fits,J,drk 2s,mdark 2.0 5   4/5, TCS UTC at start (17h:39m:51.0s)               ,
NCrk110170.fits,J,drk 2s,mdark 2.0 5   5/5, TCS UTC at start ( 17h:40m:7.0s)               ,
NCrk110171.fits,J,drk 2s,mdark 2.0 5, TCS UTC at start (17h:40m:22.0s)               ,
NCrk110172.fits,J,lin 30s,mexp 30.0 5   1/5, TCS UTC at start (17h:40m:35.0s)               ,
NCrk110173.fits,J,lin 30s,mexp 30.0 5   2/5, TCS UTC at start (17h:41m:20.0s)               ,
NCrk110174.fits,J,lin 30s,mexp 30.0 5   3/5, TCS UTC at start ( 17h:42m:3.0s)               ,
NCrk110175.fits,J,lin 30s,mexp 30.0 5   4/5, TCS UTC at start (17h:42m:45.0s)               ,
NCrk110176.fits,J,lin 30s,mexp 30.0 5   5/5, TCS UTC at start (17h:43m:31.0s)               ,
NCrk110177.fits,J,lin 30s,mexp 30.0 5, TCS UTC at start (17h:44m:17.0s)               ,
NCrk110178.fits,J,drk 30s,mdark 30.0 5   1/5, TCS UTC at start (17h:44m:29.0s)               ,
NCrk110179.fits,J,drk 30s,mdark 30.0 5   2/5, TCS UTC at start (17h:45m:12.0s)               ,
NCrk110180.fits,J,drk 30s,mdark 30.0 5   3/5, TCS UTC at start (17h:45m:55.0s)               ,
NCrk110181.fits,J,drk 30s,mdark 30.0 5   4/5, TCS UTC at start (17h:46m:39.0s)               ,
NCrk110182.fits,J,drk 30s,mdark 30.0 5   5/5, TCS UTC at start (17h:47m:26.0s)               ,
NCrk110183.fits,J,drk 30s,mdark 30.0 5, TCS UTC at start (17h:48m:10.0s)               ,
NCrk110184.fits,J,lin 12s,mexp 12.0 5   1/5, TCS UTC at start (17h:48m:22.0s)               ,
NCrk110185.fits,J,lin 12s,mexp 12.0 5   2/5, TCS UTC at start (17h:48m:46.0s)               ,
NCrk110186.fits,J,lin 12s,mexp 12.0 5   3/5, TCS UTC at start (17h:49m:13.0s)               ,
NCrk110187.fits,J,lin 12s,mexp 12.0 5   4/5, TCS UTC at start (17h:49m:39.0s)               ,
NCrk110188.fits,J,lin 12s,mexp 12.0 5   5/5, TCS UTC at start ( 17h:50m:5.0s)               ,
NCrk110189.fits,J,lin 12s,mexp 12.0 5, TCS UTC at start (17h:50m:29.0s)               ,
NCrk110190.fits,J,drk 12s,mdark 12.0 5   1/5, TCS UTC at start (17h:50m:40.0s)               ,
NCrk110191.fits,J,drk 12s,mdark 12.0 5   2/5, TCS UTC at start ( 17h:51m:6.0s)               ,
NCrk110192.fits,J,drk 12s,mdark 12.0 5   3/5, TCS UTC at start (17h:51m:31.0s)               ,
NCrk110193.fits,J,drk 12s,mdark 12.0 5   4/5, TCS UTC at start (17h:51m:56.0s)               ,
NCrk110194.fits,J,drk 12s,mdark 12.0 5   5/5, TCS UTC at start (17h:52m:24.0s)               ,
NCrk110195.fits,J,drk 12s,mdark 12.0 5, TCS UTC at start (17h:52m:48.0s)               ,
NCrk110196.fits,J,drk 0s,mdark 0.0 5   1/5, TCS UTC at start ( 17h:53m:0.0s)               ,
NCrk110197.fits,J,drk 0s,mdark 0.0 5   2/5, TCS UTC at start (17h:53m:15.0s)               ,
NCrk110198.fits,J,drk 0s,mdark 0.0 5   3/5, TCS UTC at start (17h:53m:30.0s)               ,
NCrk110199.fits,J,drk 0s,mdark 0.0 5   4/5, TCS UTC at start (17h:53m:46.0s)               ,
NCrk110200.fits,J,drk 0s,mdark 0.0 5   5/5, TCS UTC at start ( 17h:54m:1.0s)               ,
NCrk110201.fits,J,drk 0s,mdark 0.0 5, TCS UTC at start (17h:54m:17.0s)               ,
NCrk110202.fits,J,lin 18s,mexp 18.0 5   1/5, TCS UTC at start (17h:54m:22.0s)               ,
NCrk110203.fits,J,lin 18s,mexp 18.0 5   2/5, TCS UTC at start (17h:54m:52.0s)               ,
NCrk110204.fits,J,lin 18s,mexp 18.0 5   3/5, TCS UTC at start (17h:55m:26.0s)               ,
NCrk110205.fits,J,lin 18s,mexp 18.0 5   4/5, TCS UTC at start (17h:55m:57.0s)               ,
NCrk110206.fits,J,lin 18s,mexp 18.0 5   5/5, TCS UTC at start (17h:56m:28.0s)               ,
NCrk110207.fits,J,lin 18s,mexp 18.0 5, TCS UTC at start (17h:56m:58.0s)               ,
NCrk110208.fits,J,drk 18s,mdark 18.0 5   1/5, TCS UTC at start (17h:57m:10.0s)               ,
NCrk110209.fits,J,drk 18s,mdark 18.0 5   2/5, TCS UTC at start (17h:57m:41.0s)               ,
NCrk110210.fits,J,drk 18s,mdark 18.0 5   3/5, TCS UTC at start (17h:58m:14.0s)               ,
NCrk110211.fits,J,drk 18s,mdark 18.0 5   4/5, TCS UTC at start (17h:58m:46.0s)               ,
NCrk110212.fits,J,drk 18s,mdark 18.0 5   5/5, TCS UTC at start (17h:59m:19.0s)               ,
NCrk110213.fits,J,drk 18s,mdark 18.0 5, TCS UTC at start (17h:59m:49.0s)               ,
NCrk110214.fits,J,lin 24s,mexp 24.0 5   1/5, TCS UTC at start (  18h:0m:1.0s)               ,
NCrk110215.fits,J,lin 24s,mexp 24.0 5   2/5, TCS UTC at start ( 18h:0m:38.0s)               ,
NCrk110216.fits,J,lin 24s,mexp 24.0 5   3/5, TCS UTC at start ( 18h:1m:17.0s)               ,
NCrk110217.fits,J,lin 24s,mexp 24.0 5   4/5, TCS UTC at start ( 18h:1m:54.0s)               ,
NCrk110218.fits,J,lin 24s,mexp 24.0 5   5/5, TCS UTC at start ( 18h:2m:34.0s)               ,
NCrk110219.fits,J,lin 24s,mexp 24.0 5, TCS UTC at start ( 18h:3m:12.0s)               ,
NCrk110220.fits,J,drk 24s,mdark 24.0 5   1/5, TCS UTC at start ( 18h:3m:24.0s)               ,
NCrk110221.fits,J,drk 24s,mdark 24.0 5   2/5, TCS UTC at start (  18h:4m:0.0s)               ,
NCrk110222.fits,J,drk 24s,mdark 24.0 5   3/5, TCS UTC at start ( 18h:4m:45.0s)               ,
NCrk110223.fits,J,drk 24s,mdark 24.0 5   4/5, TCS UTC at start ( 18h:5m:24.0s)               ,
NCrk110224.fits,J,drk 24s,mdark 24.0 5   5/5, TCS UTC at start (  18h:6m:0.0s)               ,
NCrk110225.fits,J,drk 24s,mdark 24.0 5, TCS UTC at start ( 18h:6m:37.0s)               ,
NCrk110226.fits,J,lin 6s,mexp 6.0 5   1/5, TCS UTC at start ( 18h:6m:49.0s)               ,
NCrk110227.fits,J,lin 6s,mexp 6.0 5   2/5, TCS UTC at start (  18h:7m:9.0s)               ,
NCrk110228.fits,J,lin 6s,mexp 6.0 5   3/5, TCS UTC at start ( 18h:7m:28.0s)               ,
NCrk110229.fits,J,lin 6s,mexp 6.0 5   4/5, TCS UTC at start ( 18h:7m:47.0s)               ,
NCrk110230.fits,J,lin 6s,mexp 6.0 5   5/5, TCS UTC at start (  18h:8m:6.0s)               ,
NCrk110231.fits,J,lin 6s,mexp 6.0 5, TCS UTC at start ( 18h:8m:26.0s)               ,
NCrk110232.fits,J,drk 6s,mdark 6.0 5   1/5, TCS UTC at start ( 18h:8m:37.0s)               ,
NCrk110233.fits,J,drk 6s,mdark 6.0 5   2/5, TCS UTC at start ( 18h:8m:56.0s)               ,
